ticker,date,analysis_date,model,market_premium,risk_free_rate,beta,alpha,r_squared,expected_return_capm,market_beta,smb_beta,hml_beta,ff_alpha,ff_r_squared,expected_return_ff,smb_premium,hml_premium,sharpe_ratio
BKNG,2025-03-14,2025-03-14 21:59:24,fama_french,0.11764179884946373,0.024669657624011514,1.1358200872502189,0.08906924390342301,0.4223213723214235,0.1582895758574821,1.1394439124167883,0.29458736712550976,0.21611861614104277,0.1243345445265622,0.44880216528365535,0.12631102756001142,-0.05481777160322243,-0.0752190574359959,0.5968678940717921
CCEP,2025-03-14,2025-03-14 21:59:24,fama_french,0.11764179884946373,0.024669657624011514,0.8782323320431902,0.0337037639132965,0.34685466233940354,0.12798648897333192,0.9826447416026239,0.003273759220658215,0.5584751922257942,0.07693855727778917,0.41288274918077617,0.0980823149102578,-0.05481777160322243,-0.0752190574359959,0.430444684147626
CDNS,2025-03-14,2025-03-14 21:59:24,fama_french,0.11764179884946373,0.024669657624011514,1.260764544578722,0.1847525292257732,0.5271935205220858,0.17298826657387725,1.063840596521842,0.13724810493120815,-0.9574761915644109,0.11965583684055363,0.6563681974488247,0.21431860046571555,-0.05481777160322243,-0.0752190574359959,0.8985767932188838
CHTR,2025-03-14,2025-03-14 21:59:24,fama_french,0.11764179884946373,0.024669657624011514,0.8011049064995897,-0.12859894992104057,0.23818502086116577,0.11891307989175469,0.8056571804123852,0.08243739455324192,0.0793293929858751,-0.11727794018522843,0.24120463524227753,0.10896250115015986,-0.05481777160322243,-0.0752190574359959,-0.09804638969320502
CMCSA,2025-03-14,2025-03-14 21:59:24,fama_french,0.11764179884946373,0.024669657624011514,0.8419657840755757,-0.0963919159206286,0.39331432932252897,0.12372002703236139,0.9169182433897132,-0.026570657344744664,0.3815797557803876,-0.06867190438364168,0.4292808842587261,0.1052920438334812,-0.05481777160322243,-0.0752190574359959,0.009276233242719301
COST,2025-03-14,2025-03-14 21:59:24,fama_french,0.11764179884946373,0.024669657624011514,0.7249273697088214,0.16738630320140868,0.4105448563597558,0.1099514174317675,0.7149714249120311,-0.24780172777110177,-0.21859772234124636,0.13488628575189684,0.46325144874082924,0.1388068353246314,-0.05481777160322243,-0.0752190574359959,1.0461725339379866
CPRT,2025-03-14,2025-03-14 21:59:24,fama_french,0.11764179884946373,0.024669657624011514,1.047968255212501,0.08171557219111568,0.5338332818068532,0.147954528304344,0.9867211864927427,0.20256203167386494,-0.19098171072340958,0.07980078616601154,0.5435156906914864,0.1440107780462412,-0.05481777160322243,-0.0752190574359959,0.6695401840262563
CRWD,2025-03-14,2025-03-14 21:59:24,fama_french,0.11764179884946373,0.024669657624011514,1.1891254233453923,0.3781400393651245,0.214673047395606,0.16456051148399353,0.7496178368806465,0.9219159658006207,-1.7256816060039297,0.30343819514803877,0.3917338295432682,0.19212281339192325,-0.05481777160322243,-0.0752190574359959,0.9455487145273815
CSCO,2025-03-14,2025-03-14 21:59:24,fama_french,0.11764179884946373,0.024669657624011514,0.899464410953793,-0.022903407715206037,0.494876454510103,0.130484268929689,0.9761341236363161,-0.18478574202823073,0.285026617618084,-0.01261964982743338,0.5150374933309996,0.12819394092756578,-0.05481777160322243,-0.0752190574359959,0.30376993142321906
CSGP,2025-03-14,2025-03-14 21:59:24,fama_french,0.11764179884946373,0.024669657624011514,1.015345588293023,-0.05168543454852027,0.36987894171666047,0.1441167390846697,0.9088528622581171,0.34297012226762436,-0.33823574853705984,-0.056073369317735475,0.39135439636111924,0.13822965959646055,-0.05481777160322243,-0.0752190574359959,0.19013716842401143
CSX,2025-03-14,2025-03-14 21:59:24,fama_french,0.11764179884946373,0.024669657624011514,1.007163038228384,-0.03185496970484476,0.5384943712547473,0.14315412917588982,1.114707791481821,0.00021041991075644584,0.5731170863721684,0.012314347890878052,0.6202270941510781,0.11268502561745851,-0.05481777160322243,-0.0752190574359959,0.2956812421500646
CTAS,2025-03-14,2025-03-14 21:59:25,fama_french,0.11764179884946373,0.024669657624011514,1.0950643404533478,0.12152273362840744,0.5609740717945539,0.15349499649084491,1.1666347964828443,-0.05421348901007372,0.3450931632809651,0.1446849291118828,0.5844574397466198,0.13892895387139897,-0.05481777160322243,-0.0752190574359959,0.8021270488517076
CTSH,2025-03-14,2025-03-14 21:59:25,fama_french,0.11764179884946373,0.024669657624011514,1.0764149879767557,-0.04315134804184032,0.5308363232484328,0.15130105311812095,1.1049262204107013,0.13614630331893623,0.2428603563236792,-0.015837279915131397,0.5525231620155637,0.12892420173786773,-0.05481777160322243,-0.0752190574359959,0.264697853441222
DASH,2025-03-14,2025-03-14 21:59:25,fama_french,0.10140651975297121,0.02960103039764109,1.8801104015895111,-0.06454347960480351,0.2586238076387478,0.2202564829741945,1.046507534434464,1.251309147587616,-1.5396779871117676,0.014296193793389334,0.3629282902476906,0.18294286524792053,-0.05481777160322243,-0.0752190574359959,0.20787782497215582
DDOG,2025-03-14,2025-03-14 21:59:25,fama_french,0.11764179884946373,0.024669657624011514,1.3006395142117375,0.27046024642818034,0.21969391889470147,0.17767922973057296,0.8114680296239509,1.0941906611161032,-1.8751852894450698,0.19512551287496258,0.400711590882299,0.20120079257626486,-0.05481777160322243,-0.0752190574359959,0.714894060590524
DLTR,2025-03-14,2025-03-14 21:59:25,fama_french,0.11764179884946373,0.024669657624011514,0.7285959378671286,-0.07605643942135142,0.15319487986993152,0.11038299438911263,0.7542223734497797,0.14345906118231422,0.23237634598363824,-0.049088037919449455,0.16645361516850676,0.08805449860354068,-0.05481777160322243,-0.0752190574359959,0.02430189535886746
DXCM,2025-03-14,2025-03-14 21:59:25,fama_french,0.11764179884946373,0.024669657624011514,1.000620216396213,0.055344965185352084,0.18872948050103255,0.14238441984600167,0.7954226354853322,0.4868994750235553,-0.7679569564851013,0.026943593450319818,0.2335692722463002,0.14931886151074256,-0.05481777160322243,-0.0752190574359959,0.35197657961556855
ENPH,2025-03-14,2025-03-14 21:59:25,fama_french,0.11764179884946373,0.024669657624011514,1.598195812550454,0.24181651670814389,0.20631944937319802,0.21268428792612726,1.1385072608959086,1.8483042326904113,-1.2142886048238482,0.2650516786286865,0.3098970550624659,0.14862342482821,-0.05481777160322243,-0.0752190574359959,0.5722754710571956
